Group;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
Moderate;Disengaged;Average;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Disengaged;Disengaged;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Average;Active;Average
Moderate;Average;Disengaged;Disengaged;Average;Average;Average;Average;Average;Active;Active;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Average;Active;Disengaged;Disengaged;Average;Average;Active;;
Moderate;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Active;Average;Active;Active;Active;Active;Active;Average;Average;Average
Moderate;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active
Moderate;Average;Average;Disengaged;Average;Average;Active;Active;Active;Active;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Average;Average;Active;Average;Active
Moderate;Active;Active;Active;Active;Average;Average;Average;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Disengaged;
Moderate;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Active;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Average;Average;Average;Active;Disengaged;Average;Average;Average;Average;Average;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active
